index,y_true,predicted
308,0,0.15733376
309,1,0.23470637
310,0,0.42913532
311,1,0.17101882
312,0,0.35887116
313,1,0.17161101
314,0,0.4414427
315,1,0.36135006
316,0,1.06893
317,1,0.38815543
318,0,0.7501806
319,1,0.42007592
320,0,1.1945887
321,1,0.38495842
322,0,0.2667064
323,1,0.45033097
324,0,0.3950138
325,1,0.45596743
326,0,1.3411121
327,1,0.18034138
328,0,1.6415282
329,1,0.22245951
330,0,1.2464
331,1,0.26160997
332,0,0.118458666
333,1,0.063555114
334,0,0.9141265
335,1,0.33585954
336,0,0.6195741
337,1,0.13018057
338,0,0.8448524
339,1,0.4469335
340,0,0.17461245
341,1,0.10773262
342,0,0.67526656
343,1,0.10063496
344,0,0.7639128
345,1,0.18972644
346,0,0.42052653
347,1,0.15951148
348,0,0.3076837
349,1,0.29324844
350,0,0.24622792
351,1,0.18385595
352,0,0.07975158
353,1,0.13729782
354,0,0.18204647
355,1,0.110314295
356,0,0.2568389
357,1,0.5348707
358,0,0.28428492
359,1,0.28761122
360,0,0.3895661
361,1,0.198843
362,0,0.69175905
363,1,0.102270395
364,0,0.28871447
365,1,0.18620323
366,0,0.2528184
367,1,0.22511971
368,0,0.16753908
369,1,0.06230518
370,0,3.293213
371,1,0.202413
372,0,3.347365
373,1,0.27553695
374,0,3.8222558
375,1,0.080420874
376,0,3.8517232
377,1,0.13051373
378,0,0.45353132
379,1,0.34132156
380,0,0.2451649
381,1,0.10012946
382,0,0.40483257
383,1,0.014255443
384,0,0.48206836
385,1,0.35456073
386,0,0.64668405
387,1,0.17276119
388,0,0.51333195
389,1,0.45181257
390,0,0.20136778
391,1,0.28105065
392,0,0.5934172
393,1,0.12316804
394,0,0.3533309
395,1,0.13356017
396,0,0.58993924
397,1,0.3961694
398,0,0.84156245
399,1,0.2614521
400,0,0.8043717
401,1,0.1912462
402,0,0.33671242
403,1,0.4119058
404,0,0.34634885
405,1,0.2347115
406,0,1.022828
407,1,0.21730855
408,0,0.62063164
409,1,0.06724653
410,0,0.2838327
411,1,0.066159755
412,0,0.75792354
413,1,0.40639192
414,0,0.3175947
415,1,0.08546126
416,0,0.7021989
417,1,0.13457678
418,0,0.26174733
419,1,0.25047258
420,0,0.36902773
421,1,0.11782946
422,0,0.42270535
423,1,0.15675123
424,0,0.3275629
425,1,0.43881047
426,0,1.2366397
427,1,0.58423924
428,0,1.3780036
429,1,0.18442118
430,0,0.18872403
431,1,0.06774255
432,0,0.051856667
433,1,0.3495122
434,0,0.33289617
435,1,0.08212375
436,0,0.24160422
437,1,0.393604
438,0,0.14188139
439,1,0.3916286
440,0,0.31170806
441,1,0.20961641
442,0,0.09552981
443,1,0.03314125
444,0,0.39633688
445,1,0.07131881
446,0,0.08875145
447,1,0.40743473
448,0,0.47547716
449,1,0.4094103
450,0,0.5254545
451,1,0.33139226
452,0,0.52285385
453,1,0.2784419
454,0,0.07836756
455,1,0.26295227
456,0,0.9187255
457,1,0.58232695
458,0,0.9976149
459,1,0.34143788
460,0,0.54626197
461,1,0.08540232
462,0,0.67144334
463,1,0.4266919
464,0,0.3086543
465,1,0.14702563
466,0,0.4742445
467,1,0.38138577
468,0,0.6549296
469,1,0.13527972
470,0,0.421048
471,1,0.14929847
472,0,0.2696379
473,1,0.278207
474,0,0.19341683
475,1,0.30071452
476,0,0.6522725
477,1,0.17568308
478,0,0.38065085
479,1,0.58562964
480,0,0.27803028
481,1,0.07443019
482,0,0.5568567
483,1,0.087233596
484,0,0.5288804
485,1,0.099533804
486,0,0.143488
487,1,0.0086111715
488,0,0.2803141
489,1,0.4289777
490,0,0.6217898
491,1,0.2171904
492,0,0.68884313
493,1,0.20310567
494,0,0.9231443
495,1,0.23029675
496,0,0.47575304
497,1,0.22372238
498,0,0.8615664
499,1,0.27364656
500,0,0.75887924
501,1,0.15081953
502,0,0.2645521
503,1,0.23738445
504,0,1.2923913
505,1,0.67311037
506,0,0.24830851
507,1,0.13733861
508,0,0.22814387
509,1,0.041804034
510,0,0.2774515
511,1,0.28989226
512,0,1.2848985
513,1,0.32436234
514,0,0.15188137
515,1,0.3747732
516,0,0.94964784
517,1,0.17523904
518,0,0.87162
519,1,0.37519935
520,0,1.2834687
521,1,0.13103184
522,0,0.0913541
523,1,0.06304846
524,0,0.21503395
525,1,0.20979
526,0,2.968986
527,1,0.07026812
528,0,2.8008637
529,1,0.07032189
530,0,2.811778
531,1,0.08873391
532,0,0.1708985
533,1,0.43036538
534,0,0.5800086
535,1,0.35191882
536,0,0.15529303
537,1,0.86607456
538,0,0.59352016
539,1,0.16450356
540,0,0.54581803
541,1,0.40255404
542,0,0.15910442
543,1,0.31899315
544,0,0.6461379
545,1,0.34847426
546,0,0.5130015
547,1,0.34364614
548,0,0.3059234
549,1,0.45938832
550,0,0.16047709
551,1,0.086932614
552,0,0.17974477
553,1,0.082460284
554,0,0.59508646
555,1,0.43700555
556,0,0.3333785
557,1,0.22775722
558,0,0.11700604
559,1,0.028006034
560,0,0.21056351
561,1,0.11955058
562,0,0.199624
563,1,0.35059154
564,0,0.26188368
565,1,0.15851642
566,0,0.81358385
567,1,0.14382184
568,0,0.2820701
569,1,0.055379823
570,0,0.105625086
571,1,0.035027463
572,0,0.09794153
573,1,0.13340838
574,0,0.21283522
575,1,0.27002326
576,0,0.8398947
577,1,0.25534862
578,0,0.52722275
579,1,0.49353528
580,0,0.30591142
581,1,0.42785412
582,0,0.455551
583,1,0.1318618
584,0,0.42604655
585,1,1.0002996
586,0,0.27399406
587,1,0.38360047
588,0,0.3040993
589,1,0.14770064
590,0,0.47869322
591,1,0.15731321
592,0,0.47663745
593,1,0.20199804
594,0,0.36797714
595,1,0.05296866
596,0,0.25008506
597,1,0.43127656
598,0,0.25486642
599,1,0.4348366
600,0,0.09060373
601,1,0.4736654
602,0,0.50837976
603,1,0.39150444
604,0,0.35764232
605,1,0.06030366
606,0,0.22385962
607,1,0.30696502
608,0,0.66262656
609,1,0.24922584
610,0,0.49265993
611,1,0.28139964
612,0,0.18787675
613,1,0.24600539
614,0,0.23907986
615,1,0.12968291
616,0,0.694916
617,1,0.5346705
618,0,0.3739349
619,1,0.09122903
620,0,1.1109185
621,1,0.2586013
622,0,0.24418889
623,1,0.38980976
624,0,1.0897326
625,1,0.17883627
626,0,0.26287642
627,1,0.26621184
628,0,0.62416166
629,1,0.17068905
630,0,0.18252784
631,1,0.20121999
632,0,0.1419591
633,1,0.12020495
634,0,0.14403531
635,1,0.16220546
636,0,0.21812023
637,1,0.17761531
638,0,0.1630216
639,1,0.073026136
640,0,0.3494699
641,1,0.16757365
642,0,0.2585716
643,1,0.09398007
644,0,0.3624796
645,1,0.27325934
646,0,0.4560111
647,1,0.2650314
648,0,0.2670755
649,1,0.27240568
650,0,0.17516416
651,1,0.2634848
652,0,0.25295535
653,1,0.28572053
654,0,0.13560311
655,1,0.079579815
656,0,0.33570713
657,1,0.27025813
658,0,0.23409729
659,1,0.103574626
660,0,0.1844659
661,1,0.6874536
662,0,0.43077463
663,1,0.21914066
664,0,0.8571082
665,1,0.14881751
666,0,0.3428841
667,1,0.26951072
668,0,0.35475704
669,1,0.11859386
670,0,0.6410605
671,1,0.44383034
672,0,0.9749158
673,1,0.32886416
674,0,0.5760377
675,1,0.06503184
676,0,0.5240577
677,1,0.049717363
678,0,0.20357153
679,1,0.2350458
680,0,0.36918306
681,1,0.021522354
682,0,0.095513344
683,1,0.15168716
684,0,0.12599052
685,1,0.16790493
686,0,1.2274618
687,1,0.26672953
688,0,0.28810796
689,1,0.17068209
